`113.`:united_nations:`Pessimism               318h 54m 38s`
`114.`:flag_ca:`NESCardinality          316h 32m 40s`
`115.`:flag_sj:`Gardenia                316h 28m 01s`
`116.`:flag_gb:`StarrlightSims          315h 43m 11s`
`117.`:flag_ca:`Marc-André_Morin        310h 09m 41s`
`118.`:flag_us:`Spaceman                302h 41m 37s`
`119.`:flag_ch:`Fireball                298h 07m 10s`
`120.`:flag_au:`hsblue                  295h 16m 23s`
`121.`:flag_fr:`xerneas-yveltal         295h 02m 47s`
`122.`:flag_us:`Symystery               293h 38m 48s`
`123.`:flag_pl:`Tegron                  292h 39m 45s`
`124.`:flag_us:`JSR_                    291h 27m 06s`
`125.`:flag_us:`PeterAfro               288h 30m 35s`
`126.`:flag_us:`Jubilee                 288h 25m 34s`
`127.`:flag_us:`McKiddy                 287h 46m 33s`
`128.`:flag_au:`mobius                  286h 43m 57s`
`129.`:flag_us:`Peanutfan22             285h 50m 55s`
`130.`:flag_us:`buffalax                280h 21m 11s`
`131.`:flag_us:`Riidolsk                277h 13m 33s`
`132.`:flag_gb:`Kazadure                276h 55m 22s`
`133.`:flag_ca:`Cads                    274h 10m 22s`
`134.`:flag_nl:`MeridianPrime           272h 27m 15s`
`135.`:flag_pl:`Megami_infini           271h 43m 22s`
`136.`:flag_jp:`DBcade                  271h 39m 43s`
`137.`:flag_us:`GarbitheGlitcheress     268h 52m 48s`
`138.`:united_nations:`InprisonedShadow        268h 34m 17s`
`139.`:flag_us:`JoeDamillio             262h 12m 22s`
`140.`:flag_au:`Habble                  261h 18m 17s`
`141.`:united_nations:`ripWSB                  259h 09m 01s`
`142.`:flag_fi:`ALZERI28                253h 50m 21s`
`143.`:flag_us:`Rallis                  252h 28m 31s`
`144.`:flag_de:`berlindude1             252h 02m 08s`
`145.`:flag_us:`Ianwubby                251h 32m 29s`
`146.`:flag_us:`nicefighter             247h 28m 58s`
`147.`:flag_us:`Otterstone_Gamer        246h 06m 46s`
