`143.`:flag_us:`CaneofPacci             36`
`143.`:flag_jp:`AsneL                   36`
`143.`:flag_ca:`RPGG                    36`
`143.`:flag_us:`marenkae                36`
`143.`:flag_us:`Genlife                 36`
`155.`:flag_us:`FlannelKat              35`
`155.`:flag_us:`GarbitheGlitcheress     35`
`155.`:flag_us:`chronoon                35`
`155.`:flag_ca:`dracorl                 35`
`155.`:united_nations:`AlbertHamik             35`
`155.`:flag_us:`btrim                   35`
`155.`:flag_ca:`jeremythompson          35`
`155.`:flag_es:`SerSanju                35`
`163.`:flag_us:`Fioresa                 34`
`163.`:flag_gb:`Jezs                    34`
`163.`:flag_us:`blakurl                 34`
`163.`:flag_de:`PeteThePlayer           34`
`163.`:flag_gb:`Symm                    34`
`163.`:flag_au:`Habble                  34`
`163.`:flag_ca:`Biglaw                  34`
`163.`:flag_us:`GeoGeo222               34`
`171.`:united_nations:`f1                      33`
`171.`:flag_us:`GreenBomber             33`
`171.`:flag_de:`Saradoc                 33`
`171.`:flag_es:`Kkntucara               33`
`171.`:flag_ph:`limga                   33`
`171.`:flag_pl:`23Banzaj                33`
`171.`:flag_us:`smartalec24             33`
`171.`:flag_us:`Joester98               33`
`171.`:flag_us:`HoonGoons               33`
`171.`:united_nations:`evilclownattack         33`
`181.`:flag_gb:`Punchy                  32`
`181.`:flag_us:`Mr_Shasta               32`
`181.`:flag_us:`Dragondarch             32`
`181.`:flag_lt:`DanielJSpeedrunner      32`
`181.`:flag_gb:`Gerarge                 32`
`181.`:flag_us:`PeteDorr                32`
`181.`:flag_us:`Oxknifer                32`
`181.`:flag_gb:`NintenLew               32`
`181.`:flag_no:`DarkLink                32`
`190.`:flag_tf:`Merl_                   31`
`190.`:flag_gb:`Lonne                   31`
`190.`:flag_nl:`jensj56                 31`
`190.`:flag_tf:`Bob-chicken             31`
`190.`:flag_aq:`xddbzfan869             31`
`190.`:flag_nz:`Dabomstew               31`
`190.`:flag_pl:`Barmanek                31`
`190.`:flag_ca:`Amaz                    31`
`190.`:flag_br:`felipereis11011         31`
`190.`:flag_us:`MasterCactaur           31`
`190.`:flag_us:`Nighlin                 31`
`201.`:flag_ca:`yp                      30`
`201.`:flag_nl:`jellyd0ts               30`
`201.`:flag_us:`Symystery               30`
`201.`:flag_us:`8BitsOfJoy              30`
`201.`:flag_br:`9nine                   30`
`201.`:flag_us:`BmanRulesYou21          30`
`201.`:flag_ca:`Legs                    30`
`201.`:flag_se:`Nord                    30`
`201.`:flag_us:`GhostKumo               30`
`201.`:flag_us:`bjw                     30`
`201.`:flag_gb:`scoagogo                30`
`212.`:flag_ca:`Carter44                29`
`212.`:flag_gb:`YUMmy_Bacon5            29`
`212.`:flag_us:`rezephae                29`
`212.`:flag_se:`xenkaroshi              29`
`212.`:flag_fr:`mxpph                   29`
`212.`:flag_us:`RadManFromMars          29`
`212.`:united_nations:`CrystalChaos            29`
`212.`:flag_gb:`zoton2                  29`
`212.`:flag_ca:`junkyard_dave           29`
`212.`:flag_us:`Penguin                 29`
`212.`:flag_us:`Alexo                   29`
`212.`:flag_nl:`S.                      29`
`212.`:flag_us:`G_heinz                 29`
`225.`:flag_us:`Ihavenoname248          28`
`225.`:flag_gr:`pocogamer               28`
`225.`:flag_eu:`HowDenKing              28`
`225.`:flag_jp:`BellumZeldaDS           28`
`225.`:flag_es:`AphelDD                 28`
`225.`:flag_de:`Zumi                    28`
`225.`:flag_us:`puri_puri               28`
`225.`:flag_us:`Ecdycis                 28`
`225.`:flag_gb:`DWednesday              28`
`225.`:flag_gb:`MelonkeepR              28`
`235.`:flag_fi:`Pull                    27`
`235.`:flag_us:`JSR_                    27`
`235.`:flag_be:`bangerra                27`
`235.`:united_nations:`Flutter                 27`
`235.`:flag_cl:`Version_Japonesa        27`
`235.`:flag_gb:`debiangamer256          27`
`235.`:flag_no:`havrd                   27`
`235.`:flag_ph:`c0ckatoo                27`
`235.`:flag_jp:`Yuyukichi               27`
`235.`:flag_fr:`Rastats                 27`
`245.`:flag_fr:`R0main                  26`
`245.`:flag_ca:`jojoretrogamer          26`
`245.`:flag_us:`FingerQuick             26`
`245.`:flag_fr:`FlashTheorie            26`
`245.`:flag_us:`ebloodycandy            26`
`245.`:flag_us:`DECosmic                26`
`245.`:flag_us:`Creeper_Cheeta          26`
`245.`:flag_us:`zfresh                  26`
`245.`:flag_br:`LeandroAmadeu           26`
`245.`:flag_us:`Frikkinfriks14          26`
`245.`:flag_gb:`DigitalDuck             26`
`245.`:flag_gb:`Emericus                26`
`245.`:flag_gl:`RedMooschrom            26`
`245.`:flag_fr:`legrandgrand            26`
`245.`:flag_ru:`daff                    26`
`245.`:flag_ru:`VehicleRonald           26`
`245.`:flag_us:`WookiesLA420            26`
`245.`:flag_au:`Rabini                  26`
`245.`:flag_us:`ChuckGrody              26`
`245.`:flag_us:`Rosael                  26`
`245.`:flag_us:`Wh0misDS                26`
`245.`:flag_fr:`Flo203                  26`
`245.`:flag_us:`ThePackle               26`
`268.`:flag_us:`BlueCrystal004          25`
`268.`:flag_ru:`YouSon                  25`
`268.`:flag_gn:`Sex                     25`
`268.`:flag_nl:`Riekelt                 25`
`268.`:flag_us:`stoic_rose              25`
`268.`:flag_cz:`CPZXIII                 25`
`268.`:flag_de:`PilotPanda              25`
`268.`:flag_ru:`Tezur0                  25`
`268.`:flag_us:`Bullets                 25`
`268.`:flag_us:`DatSeaBoi               25`
`268.`:flag_ar:`kenshireando            25`
`268.`:flag_us:`Sandmanfan              25`
`268.`:flag_us:`chimkin                 25`
`268.`:flag_us:`omqwat                  25`
`282.`:flag_us:`SteveZero               24`
`282.`:flag_us:`DJBunyan                24`
`282.`:flag_gb:`Kieron                  24`
`282.`:flag_us:`Capridog                24`
`282.`:flag_br:`pentaleks               24`
`282.`:flag_us:`IslandGoSAMe            24`
`282.`:flag_id:`srd_27                  24`
`282.`:flag_gb:`RaggedDan               24`
`282.`:flag_br:`DunkelGotik             24`
`282.`:united_nations:`Vizu                    24`
`282.`:flag_us:`link_7777               24`
`282.`:flag_vh:`zir0nic                 24`
`282.`:flag_ca:`josef733                24`
`282.`:flag_ca:`AquaBlake               24`
`282.`:flag_gr:`gamebrain1              24`
`282.`:flag_us:`BMac_Attack_64          24`
`282.`:flag_ca:`NorXor                  24`
`282.`:flag_ca:`ComplexBeaver           24`
`300.`:flag_ca:`Illumina                23`
`300.`:flag_mk:`Bogdan_mk               23`
`300.`:flag_us:`pmcTRILOGY              23`
`300.`:flag_us:`davidtki                23`
`300.`:flag_es:`Yoshiabel               23`
`300.`:flag_us:`YoBGS                   23`
`300.`:flag_us:`Palmer                  23`
`300.`:flag_de:`Hako                    23`
`300.`:flag_us:`Zimmycakes              23`
`300.`:flag_us:`Tech                    23`
`300.`:flag_dk:`LoveBot                 23`
`300.`:flag_au:`oNoobs                  23`
