qjn1wzw8, 9853, 3203, 6650, 893161.8140000069
0jm6pwy8, 6630, 0, 6630, 54204.900000000336
y8dzlz9j, 6193, 2304, 3889, 598743.5580000003
1xy3wpwj, 7744, 1820, 5924, 757191.5289999986
8grm677x, 7862, 1924, 5938, 283993.6469999991
xko2g798, 14833, 2990, 11843, 2003938.3319999918
jn36q61x, 7594, 200, 7394, 310720.48499999923
o86y93wj, 5775, 487, 5288, 229427278.13699973
8qr5kvwj, 5907, 1055, 4852, 676414.2980000003
48g5vo7j, 4251, 1955, 2296, 3422586.9149999926
kj92m4r8, 4001, 142, 3859, 20624804.664999958
68wvldlx, 3908, 634, 3274, 63815.242000000144
e8e5gg68, 3500, 2, 3498, 24201.272999999906
kj9y5mrx, 3058, 173, 2885, 106927.21500000013
1xyylnyx, 3858, 777, 3081, 56974.4550000001
68wne448, 3929, 1315, 2614, 1543964.1769999973
8qzo95o8, 2794, 1273, 1521, 827852.8569999982
x7q9g1v8, 1776, 96, 1680, 740669.3110000002
kj9dzp7x, 2442, 488, 1954, 1035977.000000001
816q54lx, 2572, 318, 2254, 114406.38700000006
kj9521v8, 3047, 1232, 1815, 431330.0539999996
j51p0268, 4249, 712, 3537, 334373.44299999945
kjp1vr2j, 2176, 63, 2113, 29817.868000000057
8e913qdj, 2210, 508, 1702, 258533.36199999964
v8l3eq48, 2094, 617, 1477, 27252754.60300008
8l0rl9v8, 2035, 1006, 1029, 189604.3180000002
8wl7yovj, 2439, 286, 2153, 160356.3820000001
18vw1rvj, 1863, 37, 1826, 262261.0139999999
j0n55mr8, 2023, 282, 1741, 750765.2070000002
18v52d5j, 1822, 191, 1631, 1091200.579000007
e8e9l0pj, 2069, 220, 1849, 77862.88
xz9nv648, 2055, 315, 1740, 188979.94100000005
kj9e0578, 2355, 15, 2340, 50140.026000000056
48g562yj, 1686, 610, 1076, 4633361.641000001
j5we65gj, 3634, 1952, 1682, 1552166.290999999
18qkovq8, 1588, 499, 1089, 180713.7239999999
86313ep8, 4182, 1312, 2870, 419625.67000000004
kjp4zn4j, 1616, 1045, 571, 2549642.619999999
qjoqz4e8, 1657, 778, 879, 370635.9309999999
j2wwlm6j, 1598, 84, 1514, 72103.72999999991
18qr5wjn, 1577, 365, 1212, 1724916.2420000017
8q32emwj, 3896, 280, 3616, 133497.58800000013
x3ql5n7j, 1880, 763, 1117, 190909.455
pj0o1g4j, 4169, 714, 3455, 2995355.6429999946
98r4z3j1, 1339, 86, 1253, 283848.04599999986
0jmn9dox, 1523, 0, 1523, 9248.221000000009
8e6rpq7j, 3585, 710, 2875, 174951.35499999995
qjnz5g2j, 1306, 563, 743, 1953574.8299999959
x35yq46j, 1960, 300, 1660, 175364.92699999976
qxko0280, 1384, 488, 896, 1415228.6520000019
qjn1y628, 1490, 257, 1233, 549569.4390000002
zxz7ew9j, 1321, 461, 860, 1363980.871
