`153.`:flag_br:`GustavoPredador      46`
`153.`:flag_jp:`Hitshee_Spingear     46`
`153.`:flag_us:`DemonStalker         46`
`157.`:flag_jp:`BellumZeldaDS        45`
`157.`:flag_us:`Hydrus               45`
`157.`:flag_gb:`Punchy               45`
`157.`:flag_ru:`sWinTuZ              45`
`161.`:flag_nl:`ssjoen               44`
`161.`:flag_ru:`alex2007             44`
`161.`:flag_ph:`VentureMatic         44`
`164.`:flag_us:`MortimerNova         43`
`164.`:flag_us:`DarthTyrael          43`
`166.`:flag_ar:`Phanton              42`
`166.`:united_nations:`hahhah42             42`
`166.`:flag_ua:`Pikachu              42`
`169.`:flag_us:`Bat                  41`
`169.`:flag_ua:`pinkey               41`
`169.`:flag_jp:`Val_JP               41`
`172.`:flag_us:`Sundex               40`
`172.`:flag_gb:`Kazadure             40`
`174.`:flag_us:`ThrasherDBS          39`
`174.`:flag_us:`kirbymastah          39`
`174.`:flag_il:`Yarmiplay            39`
`177.`:flag_ca:`Th3on3C              38`
`177.`:flag_us:`JDMI                 38`
`177.`:flag_us:`smartalec24          38`
`177.`:flag_fi:`Toxcien              38`
`177.`:flag_ca:`Cads                 38`
`177.`:flag_us:`VegetaTheSaiyan8     38`
`177.`:flag_us:`Jcool114             38`
`177.`:flag_ru:`zalex                38`
`185.`:flag_us:`AndreaRovenski       37`
`185.`:flag_gb:`gayannabeth          37`
`185.`:flag_br:`LD_SPEEDRUNS         37`
`188.`:flag_ca:`Amaz                 36`
`188.`:flag_us:`PeterAfro            36`
`188.`:flag_eu:`rythin               36`
`188.`:flag_us:`froggy               36`
`192.`:flag_lv:`Blacksecret          35`
`192.`:flag_gb:`emrald               35`
`192.`:flag_us:`DarkerLord16         35`
`192.`:flag_fi:`Baconman12           35`
`192.`:flag_us:`XandoToaster         35`
`192.`:flag_de:`berlindude1          35`
`192.`:flag_us:`Mars02               35`
`199.`:flag_au:`diggity              34`
`199.`:flag_us:`Jai_Heart            34`
`199.`:flag_br:`victu                34`
`202.`:flag_br:`felipereis11011      32`
`202.`:flag_ru:`Tam1d                32`
`204.`:flag_us:`Ianwubby             31`
`204.`:flag_pl:`Xdxboxjaja           31`
`204.`:flag_tf:`Bob-chicken          31`
`204.`:flag_ru:`VehicleRonald        31`
`204.`:flag_us:`JSR_                 31`
`209.`:flag_us:`Benjams              30`
`209.`:flag_au:`Habble               30`
`209.`:flag_us:`BreadForBrunch       30`
`209.`:united_nations:`JayKayGame           30`
`209.`:flag_us:`Symystery            30`
`214.`:flag_se:`Nordanix             29`
`214.`:flag_us:`WiiSuper             29`
`214.`:flag_us:`Milkyway2000         29`
`217.`:flag_us:`Luvbaseball58        28`
`217.`:flag_us:`Dugongue             28`
`217.`:flag_us:`dantheman_6307       28`
`217.`:flag_gb:`fwampy               28`
`217.`:flag_pt:`PAULINHO_THE_GOAT    28`
`217.`:flag_us:`JoeDamillio          28`
`217.`:flag_us:`killingpepsi         28`
`217.`:flag_us:`randomidiot13        28`
`225.`:flag_au:`Tenka                27`
`225.`:flag_gb:`Hypnoshark           27`
`225.`:flag_us:`Tech                 27`
`225.`:flag_se:`WhatsFrog            27`
`225.`:flag_vh:`TransparentBlue      27`
`230.`:flag_cz:`Wolt1x               26`
`230.`:flag_vn:`Tei                  26`
`230.`:flag_us:`swordsmankirby       26`
`230.`:flag_us:`lackattack           26`
`230.`:flag_us:`Frikkinfriks14       26`
`230.`:flag_ar:`MineXeniM            26`
`230.`:flag_us:`KendrickMeatRider69  26`
`230.`:flag_us:`quane                26`
`238.`:flag_at:`rphxx                25`
`238.`:flag_gb:`debiangamer256       25`
`238.`:flag_nl:`Riekelt              25`
`238.`:flag_us:`jammitch             25`
`238.`:flag_ca:`Soulslayer434        25`
`243.`:flag_ca:`7H3                  24`
`243.`:flag_ca:`Polonxy              24`
`243.`:flag_gr:`TheNameless          24`
`243.`:flag_cz:`Ewil                 24`
`243.`:flag_us:`mrcab55              24`
`243.`:flag_us:`PunchSh0t            24`
`249.`:flag_us:`Frost20              23`
`249.`:flag_fi:`Tomatobird8          23`
`249.`:flag_us:`Plywood              23`
`249.`:flag_gb:`drgrumble            23`
`249.`:flag_us:`nicefighter          23`
`249.`:flag_us:`Toad22484            23`
`249.`:flag_us:`FlannelKat           23`
`256.`:flag_us:`DlemmoR              22`
`256.`:flag_us:`McThumbs             22`
`256.`:flag_ee:`Uniwersal            22`
`256.`:flag_eu:`toca                 22`
`256.`:flag_ca:`hotrodzod            22`
`256.`:flag_gb:`huds601              22`
`262.`:flag_us:`Ben_eXceL            21`
`262.`:flag_il:`Oreo321              21`
`262.`:flag_mx:`Mingura666           21`
`262.`:flag_lb:`Gman369              21`
`262.`:flag_es:`JuegAriel            21`
`262.`:flag_be:`Thextera             21`
